molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_value,target_chembl_id,organism,reference_class,canonical_smiles_rdkit,scaffold_smiles,mw,logp,hba,hbd,valid_structure,pchembl_numeric
CHEMBL220936,COc1cc(C(C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,5.6,IC50,2500.0,CHEMBL2329,C. albicans,DHFR,COc1cc(C(C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,344.3710000000001,1.406,8,2,True,5.6
CHEMBL572856,COc1cc([C@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,5.6,IC50,2500.0,CHEMBL2329,C. albicans,DHFR,COc1cc([C@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,344.3710000000001,1.406,8,2,True,5.6
CHEMBL583704,COc1cc([C@@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,5.6,IC50,2500.0,CHEMBL2329,C. albicans,DHFR,COc1cc([C@@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,344.3710000000001,1.406,8,2,True,5.6
CHEMBL174679,COc1ccc(COc2cnc(N)nc2N)cc1,5.59,IC50,2590.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(COc2cnc(N)nc2N)cc1,c1ccc(COc2cncnc2)cc1,246.27,1.2285999999999997,6,2,True,5.59
CHEMBL369501,Nc1ncc(NCc2ccccc2Cl)c(N)n1,5.57,IC50,2690.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(NCc2ccccc2Cl)c(N)n1,c1ccc(CNc2cncnc2)cc1,249.705,1.9064999999999999,5,3,True,5.57
CHEMBL174753,Nc1ncc(NCc2cccc(Cl)c2)c(N)n1,5.55,IC50,2810.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(NCc2cccc(Cl)c2)c(N)n1,c1ccc(CNc2cncnc2)cc1,249.705,1.9065,5,3,True,5.55
CHEMBL174617,Nc1ncc(OCc2ccc(OCc3ccccc3)cc2)c(N)n1,5.55,IC50,2810.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(OCc2ccc(OCc3ccccc3)cc2)c(N)n1,c1ccc(COc2ccc(COc3cncnc3)cc2)cc1,322.36800000000005,2.7990000000000004,6,2,True,5.55
CHEMBL174223,Nc1ncc(NCc2ccc(Cl)c(Cl)c2)c(N)n1,5.51,IC50,3090.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(NCc2ccc(Cl)c(Cl)c2)c(N)n1,c1ccc(CNc2cncnc2)cc1,284.15000000000003,2.5599,5,3,True,5.51
CHEMBL367308,Nc1ncc(OCc2c(Cl)cccc2Cl)c(N)n1,5.51,IC50,3100.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(OCc2c(Cl)cccc2Cl)c(N)n1,c1ccc(COc2cncnc2)cc1,285.134,2.5267999999999997,5,2,True,5.51
CHEMBL369237,COc1ccc(CNc2cnc(N)nc2N)cc1,5.5,IC50,3180.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(CNc2cnc(N)nc2N)cc1,c1ccc(CNc2cncnc2)cc1,245.286,1.2616999999999996,6,3,True,5.5
CHEMBL158543,Cc1ccc(S(=O)(=O)Nc2ccc(OCCCNc3nc(N)nc(O)c3N=O)cc2)cc1,6.22,IC50,600.0,CHEMBL4032,E. coli,DHPS,Cc1ccc(S(=O)(=O)Nc2ccc(OCCCNc3nc(N)nc(O)c3N=O)cc2)cc1,O=S(=O)(Nc1ccc(OCCCNc2ccncn2)cc1)c1ccccc1,458.5000000000001,3.15252,10,4,True,6.22
CHEMBL159139,COc1cc(OC)cc(OCCCNc2nc(N)nc(O)c2N=O)c1,6.16,IC50,700.0,CHEMBL4032,E. coli,DHPS,COc1cc(OC)cc(OCCCNc2nc(N)nc(O)c2N=O)c1,c1ccc(OCCCNc2ccncn2)cc1,349.34700000000004,2.0604999999999993,10,3,True,6.16
CHEMBL422884,Nc1nc(O)c(N=O)c(NCCCOc2ccc(Cl)cc2)n1,6.0,IC50,1000.0,CHEMBL4032,E. coli,DHPS,Nc1nc(O)c(N=O)c(NCCCOc2ccc(Cl)cc2)n1,c1ccc(OCCCNc2ccncn2)cc1,323.73999999999995,2.6967000000000008,8,3,True,6.0
CHEMBL159048,Nc1nc(O)c(N=O)c(NCCCOc2ccc([N+](=O)[O-])cc2)n1,6.0,IC50,1000.0,CHEMBL4032,E. coli,DHPS,Nc1nc(O)c(N=O)c(NCCCOc2ccc([N+](=O)[O-])cc2)n1,c1ccc(OCCCNc2ccncn2)cc1,334.292,1.9514999999999996,10,3,True,6.0
CHEMBL158993,Nc1nc(O)c(N=O)c(NCCCOc2ccc(C(F)(F)F)cc2)n1,5.85,IC50,1400.0,CHEMBL4032,E. coli,DHPS,Nc1nc(O)c(N=O)c(NCCCOc2ccc(C(F)(F)F)cc2)n1,c1ccc(OCCCNc2ccncn2)cc1,357.2919999999999,3.062100000000001,8,3,True,5.85
CHEMBL351250,Nc1nc(O)c(N=O)c(NCCCOc2cc(Cl)cc(Cl)c2)n1,5.85,IC50,1400.0,CHEMBL4032,E. coli,DHPS,Nc1nc(O)c(N=O)c(NCCCOc2cc(Cl)cc(Cl)c2)n1,c1ccc(OCCCNc2ccncn2)cc1,358.185,3.350100000000001,8,3,True,5.85
CHEMBL442357,Nc1nc(O)c(N=O)c(NCCCCCCCc2ccccc2)n1,5.85,IC50,1400.0,CHEMBL4032,E. coli,DHPS,Nc1nc(O)c(N=O)c(NCCCCCCCc2ccccc2)n1,c1ccc(CCCCCCCNc2ccncn2)cc1,329.4039999999999,3.767400000000002,7,3,True,5.85
CHEMBL55866,CNc1nc(N)nc(O)c1N=O,5.8,IC50,1600.0,CHEMBL4032,E. coli,DHPS,CNc1nc(N)nc(O)c1N=O,c1cncnc1,169.144,0.20399999999999985,7,3,True,5.8
CHEMBL3233211,COc1ccccc1C(=O)CSc1nc2nc(N)[nH]c(=O)c2[nH]1,5.8,Kd,1600.0,CHEMBL2364668,Bacteria,DHPS,COc1ccccc1C(=O)CSc1nc2nc(N)[nH]c(=O)c2[nH]1,O=C(CSc1nc2nc[nH]c(=O)c2[nH]1)c1ccccc1,331.357,1.2119999999999993,7,3,True,5.8
CHEMBL3827911,COc1cc(NS(=O)(=O)c2ccc(NCc3cnc4nc(N)[nH]c(=O)c4n3)cc2)nc(OC)n1,5.72,IC50,1900.0,CHEMBL1075045,B. anthracis,DHPS,COc1cc(NS(=O)(=O)c2ccc(NCc3cnc4nc(N)[nH]c(=O)c4n3)cc2)nc(OC)n1,O=c1[nH]cnc2ncc(CNc3ccc(S(=O)(=O)Nc4ccncn4)cc3)nc12,485.4860000000002,0.5153999999999997,12,4,True,5.72
