model_id,model_name,model_type,aro_accession,aro_name,target_resistance_family,drug_classes,resistance_mechanisms,reference_taxa,n_model_sequences,has_snp_data,source,source_url,card_version
3881,PDC-28,protein homolog model,3005156,PDC-28,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3882,PDC-41,protein homolog model,3005157,PDC-41,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3883,OXA-668,protein homolog model,3005158,OXA-668,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter sp. ETR1,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3884,OXA-818,protein homolog model,3005159,OXA-818,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter radioresistens,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3885,OXA-812,protein homolog model,3005160,OXA-812,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter radioresistens,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
4009,PDC-105,protein homolog model,3005277,PDC-105,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3276,Staphylococcus aureus LmrS,protein homolog model,3004572,Staphylococcus aureus LmrS,Beta-lactamase,aminoglycoside antibiotic;diaminopyrimidine antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic,antibiotic efflux,Staphylococcus aureus subsp. aureus COL,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3886,FosA7.5,protein homolog model,3005162,FosA7.5,Beta-lactamase,phosphonic acid antibiotic,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3887,dfrA35,protein homolog model,3005164,dfrA35,Beta-lactamase,diaminopyrimidine antibiotic,antibiotic target replacement,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3890,CMY-134,protein homolog model,3003654,CMY-134,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3891,CMY-143,protein homolog model,3005204,CMY-143,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3892,CMY-107,protein homolog model,3002119,CMY-107,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3893,CMY-158,protein homolog model,3005176,CMY-158,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3894,CMY-173,protein homolog model,3005177,CMY-173,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3896,CMY-147,protein homolog model,3005180,CMY-147,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3897,CMY-146,protein homolog model,3005181,CMY-146,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3898,CMY-156,protein homolog model,3005182,CMY-156,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3899,CMY-160,protein homolog model,3005183,CMY-160,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3900,CMY-162,protein homolog model,3005184,CMY-162,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3901,CMY-140,protein homolog model,3005185,CMY-140,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3902,CMY-164,protein homolog model,3005186,CMY-164,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
4177,ADC-101,protein homolog model,3006281,ADC-101,Beta-lactamase,cephalosporin,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3903,CMY-161,protein homolog model,3005187,CMY-161,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3904,CMY-165,protein homolog model,3005188,CMY-165,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3905,CMY-166,protein homolog model,3005189,CMY-166,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3906,CMY-149,protein homolog model,3005190,CMY-149,Beta-lactamase,cephalosporin,antibiotic inactivation,Proteus mirabilis,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3907,CMY-139,protein homolog model,3005191,CMY-139,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3908,CMY-148,protein homolog model,3005192,CMY-148,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3909,CMY-163,protein homolog model,3005193,CMY-163,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3910,CMY-154,protein homolog model,3005194,CMY-154,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3911,CMY-142,protein homolog model,3005195,CMY-142,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3912,CMY-141,protein homolog model,3005196,CMY-141,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3913,CMY-124,protein homolog model,3003132,CMY-124,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii complex,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3914,CMY-125,protein homolog model,3003133,CMY-125,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3915,CMY-145,protein homolog model,3005197,CMY-145,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3916,CMY-122,protein homolog model,3003130,CMY-122,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3917,CMY-157,protein homolog model,3005198,CMY-157,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter sp.,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3918,CMY-171,protein homolog model,3005199,CMY-171,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3919,CMY-155,protein homolog model,3005200,CMY-155,Beta-lactamase,cephalosporin,antibiotic inactivation,Klebsiella sp. KF07,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3920,CMY-96,protein homolog model,3002109,CMY-96,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3922,SHV-205,protein homolog model,3005207,SHV-205,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3923,SHV-222,protein homolog model,3005208,SHV-222,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3924,SHV-198,protein homolog model,3005209,SHV-198,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3925,SHV-195,protein homolog model,3005210,SHV-195,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3926,SHV-201,protein homolog model,3005211,SHV-201,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3927,SHV-212,protein homolog model,3005212,SHV-212,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3928,SHV-204,protein homolog model,3005213,SHV-204,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3929,SHV-197,protein homolog model,3005214,SHV-197,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3930,SHV-216,protein homolog model,3005215,SHV-216,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3931,CMY-121,protein homolog model,3003129,CMY-121,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
