compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
T2Z5,MurA,0.1775700934579439,0.1517477642223214,0.5833333333333334,CHEMBL5220784,4.68,21000.0,CHEMBL1984,E. coli,94,0.1547619047619047,0,0
T2Z5,FabI,0.1764705882352941,0.1695140197976128,0.5584415584415584,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.174757281553398,0,0
T2Z5,TopoIV,0.1623931623931624,0.1572009013798053,0.5747126436781609,CHEMBL4294536,6.4,400.0,CHEMBL3329081,E. coli ParE,190,0.1610169491525423,0,0
T2Z5,LpxH,0.160377358490566,0.1491570827718419,0.5555555555555556,CHEMBL3672326,7.35,45.0,CHEMBL5855,E. coli,252,0.1485148514851485,0,0
T2Z5,PBP2a,0.1538461538461538,0.1469597069597069,0.5747126436781609,CHEMBL4743698,5.7,2000.0,CHEMBL6128,S. aureus PBP2,17,0.1523809523809524,0,0
T2Z5,FtsZ,0.1495327102803738,0.1413130143549464,0.5222222222222223,CHEMBL1926719,4.68,21000.0,CHEMBL4213,M. tuberculosis,67,0.1415929203539823,0,0
T2Z5,LpxA,0.1495327102803738,0.1495327102803738,0.625,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
T2Z5,FabH,0.14,0.0909758530842952,0.4756097560975609,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.088235294117647,0,0
T2Z5,DHPS,0.1346153846153846,0.1297474714812895,0.5,CHEMBL159046,5.54,2900.0,CHEMBL4032,E. coli,22,0.134020618556701,0,0
T2Z5,DHFR,0.1195652173913043,0.1175211105668033,0.4358974358974359,CHEMBL170900,8.89,1.3,CHEMBL2329,C. albicans,232,0.1182795698924731,0,0
T2Z6,MurC,0.2604166666666667,0.2431438560980892,0.717948717948718,CHEMBL5075801,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.25,0,0
T2Z6,GyrB,0.2277227722772277,0.2067174983288157,0.6538461538461539,CHEMBL3735875,6.58,262.0,CHEMBL1921666,S. aureus,253,0.2058823529411764,0,0
T2Z6,LpxC,0.22,0.1982601260126012,0.5531914893617021,CHEMBL2023522,8.96,1.1,CHEMBL3855,P. aeruginosa,600,0.2,0,0
T2Z6,Gyr,0.1944444444444444,0.1756760180019942,0.6375,CHEMBL488699,7.64,23.0,CHEMBL3038482,S. aureus complex,600,0.1720430107526881,0,0
T2Z6,MurA,0.1851851851851851,0.1784266639571752,0.5903614457831325,CHEMBL5219036,4.8,16000.0,CHEMBL1984,E. coli,94,0.1801801801801801,0,0
T2Z6,DHPS,0.1808510638297872,0.1442535888602492,0.5280898876404494,CHEMBL422884,6.0,1000.0,CHEMBL4032,E. coli,22,0.1443298969072164,0,0
T2Z6,FabI,0.1764705882352941,0.1705429569870802,0.5584415584415584,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.174757281553398,0,0
T2Z6,LpxA,0.1714285714285714,0.1714285714285714,0.6455696202531646,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
T2Z6,FtsZ,0.1650485436893204,0.1609894590668009,0.4069767441860465,CHEMBL3425693,4.57,27000.0,CHEMBL3999,E. coli,67,0.1634615384615384,0,0
T2Z6,TopoIV,0.1623931623931624,0.1590256732833173,0.5747126436781609,CHEMBL4294536,6.4,400.0,CHEMBL3329081,E. coli ParE,190,0.1610169491525423,0,0
T2Z6,LpxH,0.1568627450980392,0.153421185827188,0.5625,CHEMBL3672293,7.24,58.0,CHEMBL5855,E. coli,252,0.1553398058252427,0,0
T2Z6,PBP2a,0.1428571428571428,0.1361185983827493,0.5747126436781609,CHEMBL4743698,5.7,2000.0,CHEMBL6128,S. aureus PBP2,17,0.1415094339622641,0,0
T2Z6,FabH,0.14,0.0909758530842952,0.4756097560975609,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.088235294117647,0,0
T2Z6,DHFR,0.1333333333333333,0.1217850312380466,0.3670886075949367,CHEMBL174753,5.55,2810.0,CHEMBL2329,C. albicans,232,0.1195652173913043,0,0
T2Z9,MurC,0.2631578947368421,0.2400318164695571,0.7654320987654321,CHEMBL5090659,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.2407407407407407,0,0
T2Z9,LpxA,0.2129629629629629,0.2129629629629629,0.6375,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
T2Z9,MurA,0.2083333333333333,0.203920947128635,0.6153846153846154,CHEMBL365523,4.301029995663981,50000.0,CHEMBL1984,E. coli,94,0.2068965517241379,0,0
T2Z9,Gyr,0.2072072072072072,0.1884659283789718,0.7125,CHEMBL6078265,8.11,7.8,CHEMBL2094139,E. coli complex,600,0.202020202020202,0,0
T2Z9,FabI,0.2,0.1881233671988389,0.4805194805194805,CHEMBL3623422,6.96,110.0,CHEMBL3994,S. aureus,331,0.19,0,0
T2Z9,GyrB,0.2,0.1858498023715415,0.6883116883116883,CHEMBL3735875,6.58,262.0,CHEMBL1921666,S. aureus,253,0.1909090909090909,0,0
T2Z9,LpxC,0.196078431372549,0.1891179399317606,0.5104166666666666,CHEMBL2023138,8.07,8.5,CHEMBL3855,P. aeruginosa,600,0.196078431372549,0,0
T2Z9,TopoIV,0.1909090909090909,0.1615170174652933,0.525,CHEMBL95778,7.795880017344075,16.0,CHEMBL1895,E. coli ParC,190,0.1551724137931034,0,0
T2Z9,FtsZ,0.1834862385321101,0.1724262430530115,0.4938271604938271,CHEMBL3425704,4.07,85000.0,CHEMBL3999,E. coli,67,0.1818181818181818,0,0
T2Z9,LpxH,0.1607142857142857,0.1436842072202456,0.654320987654321,CHEMBL4088216,6.0,1000.0,CHEMBL5855,E. coli,252,0.1478260869565217,0,0
