compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,sulfonamide,beta_lactam,hydroxamate,diaminopyrimidine,xanthine,hydrazone,benzimidazole,benzothiazole,aryl_halide,similarity_component,top5_component,maccs_component,sar_bonus,evidence_score,organism_prior,evidence_tier
X1V26,DHPS,0.2105263157894736,0.1968238778765094,0.7058823529411765,CHEMBL422884,6.0,1000.0,CHEMBL4032,E. coli,22,0.2,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.20095693779904286,0.25960861750335423,0.8655462184873951,0.0,0.29521255604846924,1.0,low
X1V9,DHPS,0.2317073170731707,0.1854486627106611,0.8392857142857143,CHEMBL158543,6.22,600.0,CHEMBL4032,E. coli,22,0.2063492063492063,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.23946784922394668,0.2343303615792469,1.0,0.0,0.32831651500678505,1.0,low
BI-1,FabH,0.1948051948051948,0.1334206832838844,0.5,CHEMBL370931,5.62,2400.0,CHEMBL3822,H. influenzae,6,0.1666666666666666,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.1723730814639905,0.11871262951974311,0.5714285714285715,0.0,0.20157898382621675,1.0,low
BI-6,FabH,0.1839080459770115,0.1355959140338035,0.5147058823529411,CHEMBL5555396,5.7,2000.0,CHEMBL4914,E. coli,6,0.1686746987951807,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.15256008359456633,0.12354647563067443,0.592436974789916,0.0,0.19603220692343917,1.0,low
OX-11,FabH,0.1182795698924731,0.0967046334662897,0.5,CHEMBL370931,5.62,2400.0,CHEMBL3822,H. influenzae,6,0.1145833333333333,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.03323558162267835,0.037121407702866,0.5714285714285715,0.0,0.1116124284513414,1.0,low
T2Z14,FabH,0.1296296296296296,0.0948368859747331,0.4878048780487805,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.1018518518518518,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.05387205387205379,0.032970857721629096,0.554006968641115,0.0,0.11827978666260142,1.0,low
T2Z5,FabH,0.14,0.0909758530842952,0.4756097560975609,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.088235294117647,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.07272727272727274,0.024390784631767116,0.5365853658536585,0.0,0.12294913739962691,1.0,low
T2Z6,FabH,0.14,0.0909758530842952,0.4756097560975609,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.088235294117647,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.07272727272727274,0.024390784631767116,0.5365853658536585,0.0,0.12294913739962691,1.0,low
T2Z9,FabH,0.1296296296296296,0.0948368859747331,0.4878048780487805,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.1018518518518518,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.05387205387205379,0.032970857721629096,0.554006968641115,0.0,0.11827978666260142,1.0,low
X1V11,FabH,0.2025316455696202,0.1467273228466112,0.3902439024390244,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.1641791044776119,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.18642117376294579,0.14828293965913597,0.4146341463414635,0.0,0.1924764437474764,1.0,low
