compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
X1V9,FabI,0.23880597014925373,0.18209891054816615,0.4864864864864865,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.17105263157894737,0,0
BI-1,FtsZ,0.25,0.21187800963081865,0.6557377049180327,CHEMBL1651196,5.21,6210.0,CHEMBL4213,M. tuberculosis,67,0.21428571428571427,0,0
BI-6,FtsZ,0.22988505747126436,0.20444095531509535,0.6451612903225806,CHEMBL1651202,5.11,7690.0,CHEMBL4213,M. tuberculosis,67,0.22093023255813954,0,0
OX-11,FtsZ,0.15841584158415842,0.15063334001059553,0.5862068965517241,CHEMBL1926720,4.46,34800.0,CHEMBL4213,M. tuberculosis,67,0.15384615384615385,0,0
T2Z14,FtsZ,0.1415929203539823,0.13779820846495963,0.5529411764705883,CHEMBL3425704,4.07,85000.0,CHEMBL3999,E. coli,67,0.1391304347826087,0,0
T2Z5,FtsZ,0.14953271028037382,0.1413130143549464,0.5584415584415584,CHEMBL1926719,4.68,21000.0,CHEMBL4213,M. tuberculosis,67,0.1415929203539823,0,0
T2Z6,FtsZ,0.1650485436893204,0.1609894590668009,0.5789473684210527,CHEMBL3425693,4.57,27000.0,CHEMBL3999,E. coli,67,0.16346153846153846,0,0
T2Z9,FtsZ,0.1834862385321101,0.1724262430530115,0.5714285714285714,CHEMBL3425704,4.07,85000.0,CHEMBL3999,E. coli,67,0.18181818181818182,0,0
X1V11,FtsZ,0.18518518518518517,0.17160493827160495,0.4125,CHEMBL3425608,4.0,100000.0,CHEMBL3999,E. coli,67,0.1744186046511628,0,0
X1V19,FtsZ,0.16091954022988506,0.14947943110335266,0.3793103448275862,CHEMBL3425693,4.57,27000.0,CHEMBL3999,E. coli,67,0.14772727272727273,0,0
X1V20,FtsZ,0.1566265060240964,0.14986225158133065,0.3804347826086957,CHEMBL511201,6.82,150.0,CHEMBL5096,S. aureus,67,0.1511627906976744,0,0
X1V26,FtsZ,0.21621621621621623,0.19561283190558157,0.475,CHEMBL3423282,7.522878745280337,30.0,CHEMBL3999,E. coli,67,0.20238095238095238,0,0
X1V9,FtsZ,0.225,0.18685256887565152,0.3793103448275862,CHEMBL3425693,4.57,27000.0,CHEMBL3999,E. coli,67,0.21333333333333335,0,0
BI-1,Gyr,0.3283582089552239,0.28063132750415515,0.6984126984126984,CHEMBL472525,6.33,470.0,CHEMBL3038482,S. aureus complex,600,0.273972602739726,0,0
BI-6,Gyr,0.3026315789473684,0.2883007943670107,0.7142857142857143,CHEMBL3329291,7.0,99.0,CHEMBL2094139,E. coli complex,600,0.2911392405063291,0,0
OX-11,Gyr,0.17708333333333334,0.17142663974500127,0.7023809523809523,CHEMBL4465300,6.7,200.0,CHEMBL2094139,E. coli complex,600,0.17525773195876287,0,0
T2Z14,Gyr,0.18584070796460178,0.17004446335910456,0.7317073170731707,CHEMBL6078265,8.11,7.8,CHEMBL2094139,E. coli complex,600,0.1782178217821782,0,0
T2Z5,Gyr,0.19444444444444445,0.16828297797767094,0.7023809523809523,CHEMBL488699,7.64,23.0,CHEMBL3038482,S. aureus complex,600,0.17204301075268819,0,0
T2Z6,Gyr,0.19444444444444445,0.17567601800199426,0.7058823529411765,CHEMBL488699,7.64,23.0,CHEMBL3038482,S. aureus complex,600,0.17204301075268819,0,0
T2Z9,Gyr,0.2072072072072072,0.18846592837897186,0.7402597402597403,CHEMBL6078265,8.11,7.8,CHEMBL2094139,E. coli complex,600,0.20202020202020202,0,0
